0.3712,0.01,,接收,频率,累积 %
0.2398,,,,,
0.7282,,,,,
0.279,,,,,
0.3946,,,,,
0.1294,,,,,
0.1244,,,,,
0.1452,,,,,
0.1748,,,,,
0.1844,,,,,
0.5476,,,,,
0.2138,,,,,
0.2208,,,,,
0.2452,,,,,
0.7308,,,,,
0.291,,,,,
0.3944,,,,,
0.131,,,,,
0.1312,,,,,
0.1496,,,,,
0.1798,,,,,
0.1862,,,,,
0.5596,,,,,
0.2258,,,,,
0.2298,,,,,
0.254,,,,,
0.7426,,,,,
0.3126,,,,,
0.8034,,,,,
0.533,,,,,
0.5312,,,,,
0.549,,,,,
0.5494,,,,,
0.5544,,,,,
0.5624,,,,,
0.6058,,,,,
0.6048,,,,,
0.61,,,,,
0.894,,,,,
0.6234,,,,,
0.4164,,,,,
0.1638,,,,,
0.186,,,,,
0.1702,,,,,
0.2038,,,,,
0.2196,,,,,
0.2284,,,,,
0.5958,,,,,
0.3622,,,,,
0.3944,,,,,
0.7464,,,,,
0.347,,,,,
0.435,,,,,
0.1898,,,,,
0.1916,,,,,
0.2008,,,,,
0.2076,,,,,
0.2194,,,,,
0.2266,,,,,
0.594,,,,,
0.371,,,,,
0.389,,,,,
0.7756,,,,,
0.3454,,,,,
0.4476,,,,,
0.2188,,,,,
0.226,,,,,
0.2364,,,,,
0.241,,,,,
0.2418,,,,,
0.2552,,,,,
0.6136,,,,,
0.3988,,,,,
0.4042,,,,,
0.7816,,,,,
0.3632,,,,,
0.8572,,,,,
0.7022,,,,,
0.7028,,,,,
0.711,,,,,
0.734,,,,,
0.7296,,,,,
0.7348,,,,,
0.9032,,,,,
0.7692,,,,,
0.775,,,,,
0.7822,,,,,
0.8092,,,,,
0.4478,,,,,
0.2594,,,,,
0.2768,,,,,
0.2758,,,,,
0.2826,,,,,
0.2994,,,,,
0.2904,,,,,
0.6276,,,,,
0.3424,,,,,
0.357,,,,,
0.378,,,,,
0.8042,,,,,
0.3712,,,,,
0.3684,,,,,
0.3636,,,,,
0.3874,,,,,
0.3896,,,,,
0.4136,,,,,
0.808,,,,,
0.4224,,,,,
0.4358,,,,,
0.44,,,,,
0.8698,,,,,
0.4572,,,,,
0.352,,,,,
0.1266,,,,,
0.1306,,,,,
0.1356,,,,,
0.1256,,,,,
0.1396,,,,,
0.5216,,,,,
0.167,,,,,
0.1778,,,,,
0.2276,,,,,
0.6936,,,,,
0.2648,,,,,
0.3686,,,,,
0.1222,,,,,
0.1326,,,,,
0.13,,,,,
0.124,,,,,
0.139,,,,,
0.5278,,,,,
0.1798,,,,,
0.1936,,,,,
0.2234,,,,,
0.6956,,,,,
0.2776,,,,,
0.3698,,,,,
0.1268,,,,,
0.1396,,,,,
0.1558,,,,,
0.1448,,,,,
0.1584,,,,,
0.5604,,,,,
0.1768,,,,,
0.2002,,,,,
0.221,,,,,
0.719,,,,,
0.2972,,,,,
0.384,,,,,
0.1456,,,,,
0.1376,,,,,
0.1446,,,,,
0.1602,,,,,
0.173,,,,,
0.5398,,,,,
0.194,,,,,
0.2092,,,,,
0.2398,,,,,
0.7282,,,,,
0.279,,,,,
0.3946,,,,,
0.1294,,,,,
0.1244,,,,,
0.1452,,,,,
0.1748,,,,,
0.1844,,,,,
0.5476,,,,,
0.2138,,,,,
0.2208,,,,,
0.2452,,,,,
0.7308,,,,,
0.291,,,,,
0.3944,,,,,
0.131,,,,,
0.1312,,,,,
0.1496,,,,,
0.1798,,,,,
0.1862,,,,,
0.5596,,,,,
0.2258,,,,,
0.2298,,,,,
0.254,,,,,
0.7426,,,,,
0.3126,,,,,
0.8034,,,,,
0.533,,,,,
0.5312,,,,,
0.549,,,,,
0.5494,,,,,
0.5544,,,,,
0.5624,,,,,
0.6058,,,,,
0.6048,,,,,
0.61,,,,,
0.894,,,,,
0.6234,,,,,
0.4164,,,,,
0.1638,,,,,
0.186,,,,,
0.1702,,,,,
0.2038,,,,,
0.2196,,,,,
0.2284,,,,,
0.5958,,,,,
0.3622,,,,,
0.3944,,,,,
0.7464,,,,,
0.347,,,,,
0.435,,,,,
0.1898,,,,,
0.1916,,,,,
0.2008,,,,,
0.2076,,,,,
0.2194,,,,,
0.2266,,,,,
0.594,,,,,
0.371,,,,,
0.389,,,,,
0.7756,,,,,
0.3454,,,,,
0.4476,,,,,
0.2188,,,,,
0.226,,,,,
0.2364,,,,,
0.241,,,,,
0.2418,,,,,
0.2552,,,,,
0.6136,,,,,
0.3988,,,,,
0.4042,,,,,
0.7816,,,,,
0.3632,,,,,
0.8572,,,,,
0.7022,,,,,
0.7028,,,,,
0.711,,,,,
0.734,,,,,
0.7296,,,,,
0.7348,,,,,
0.9032,,,,,
0.7692,,,,,
0.775,,,,,
0.7822,,,,,
0.8092,,,,,
0.4478,,,,,
0.2594,,,,,
0.2768,,,,,
0.2758,,,,,
0.2826,,,,,
0.2994,,,,,
0.2904,,,,,
0.6276,,,,,
0.3424,,,,,
0.357,,,,,
0.378,,,,,
0.8042,,,,,
0.9294,,,,,
0.3066,,,,,
0.3374,,,,,
0.3688,,,,,
0.3894,,,,,
0.4002,,,,,
0.4178,,,,,
0.9396,,,,,
0.5698,,,,,
0.5862,,,,,
0.6186,,,,,
0.953,,,,,
0.7702,,,,,
